"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Verify Pending Tickets count is visible","webkit","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","Verify MAN Deployment Observability","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","1","@negative Invalid Destination Port","webkit","2026-02-20","skipped","2026-02-20","ETL Module Tests","agent-studio\etl.spec.js","",""
"","0","Edit Project","firefox","2026-04-15","skipped","2026-04-15","Vanij Agent Studio - Projects Module","agent-studio\projects.spec.ts","",""
"","0","@regression Create Destination","webkit","2026-02-20","skipped","2026-02-20","ETL Module Tests","agent-studio\etl.spec.js","",""
"","0","Verify user can select project and flow","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Flow Deployment Module","agent-studio\flow-deployment\flowDeployment.spec.ts","",""
"","60923","@ui AGP-003 Verify Create Rule button is visible and enabled","webkit","2026-02-20","broken","2026-02-20","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","61556","Verify Try Live Chat","chromium","2026-04-15","broken","2026-04-15","AI Marketplace Module","marketplace\marketplace.spec.ts","",""
"","0","@sanity Create Source","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - ETL Module","agent-studio\etl.spec.ts","",""
"","0","Verify MAN deployment status","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - MAN Deployment Module","agent-studio\man-deployment\manDeployment.spec.ts","",""
"","0","Delete Project","firefox","2026-04-15","skipped","2026-04-15","Vanij Agent Studio - Projects Module","agent-studio\projects.spec.ts","",""
"","0","Verify Flow Deployment Observability","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","0","Unregistered email should not login","firefox","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","0","Verify Projects Observability","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","51891","Global Login Setup","setup","2026-02-24","passed","2026-02-24","","setup\auth.setup.spec.js","",""
"","0","Verify user can open Flow Deployment page","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Flow Deployment Module","agent-studio\flow-deployment\flowDeployment.spec.ts","",""
"","62823","Verify Search Functionality","webkit","2026-04-15","broken","2026-04-15","AI Marketplace Module","marketplace\marketplace.spec.ts","",""
"","0","@regression Create Connection and Sync","webkit","2026-02-24","skipped","2026-02-24","Agent Studio - ETL Module","agent-studio\etl.spec.js","",""
"","0","Delete Project","webkit","2026-04-15","skipped","2026-04-15","Vanij Agent Studio - Projects Module","agent-studio\projects.spec.ts","",""
"","0","Verify user can login using Email + OTP","webkit","2026-04-15","skipped","2026-04-15","Authentication – OTP Login","auth\login.otp.spec.js","",""
"","0","@sanity AGP-005 Verify file upload input exists","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - AGP Module","agent-studio\agp.spec.ts","",""
"","0","Verify user can create a component","webkit","2026-04-15","skipped","2026-04-15","Agent Studio – Components","agent-studio\components\components.spec.ts","",""
"","0","Verify Flow Deployment Observability","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","0","Wrong password should not login","firefox","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","0","@smoke @ui Verify ETL loads","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - ETL Module","agent-studio\etl.spec.ts","",""
"","0","@regression Create Connection and Sync","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - ETL Module","agent-studio\etl.spec.ts","",""
"","61461","Verify App Navigation","chromium","2026-04-15","broken","2026-04-15","AI Marketplace Module","marketplace\marketplace.spec.ts","",""
"","0","Verify Total Flows count is visible","chromium","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","@smoke Verify Components page loads","webkit","2026-04-15","skipped","2026-04-15","Agent Studio – Components","agent-studio\components\components.spec.ts","",""
"","0","Verify user can create new MAN","webkit","2026-04-15","skipped","2026-04-15","MAN - Create New","agent-studio\man\man.create.spec.ts","",""
"","64567","@negative @regression AGP-004 Verify rule creation fails without required fields","chromium","2026-02-24","broken","2026-02-24","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","1","@negative Invalid Port Test","chromium","2026-02-20","skipped","2026-02-20","Agent Studio - ETL Module","agent-studio\etl.spec.js","",""
"","0","User onboarding → Workspace creation → Chat input","chromium","2026-04-15","skipped","2026-04-15","SAI Onboarding Flow","sai.spec.ts","",""
"","0","Verify user can edit a component","chromium","2026-04-15","skipped","2026-04-15","Agent Studio – Components","agent-studio\components\components.spec.ts","",""
"","0","Wrong OTP should not login","auth-webkit","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","3","@regression Create Connection and Sync","firefox","2026-02-20","skipped","2026-02-20","ETL Module Tests","agent-studio\etl.spec.js","",""
"","0","Verify user can select project and flow","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - Flow Deployment Module","agent-studio\flow-deployment\flowDeployment.spec.ts","",""
"","1","@negative Invalid Destination Port","firefox","2026-02-20","skipped","2026-02-20","ETL Module Tests","agent-studio\etl.spec.js","",""
"","1","@smoke @ui Verify ETL loads","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - ETL Module","agent-studio\etl.spec.ts","",""
"","0","@regression Test Provider Connection","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","0","Verify Deployed","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","1","@smoke @ui Verify CPAAS loads","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","1","get started link","firefox","2026-04-15","skipped","2026-04-15","","example.spec.ts","",""
"","0","@sanity AGP-005 Verify file upload input exists","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - AGP Module","agent-studio\agp.spec.ts","",""
"","0","@negative Invalid Port Test","firefox","2026-02-20","skipped","2026-02-20","Agent Studio - ETL Module","agent-studio\etl.spec.js","",""
"","0","@regression Edit Provider","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","0","@regression Create Destination","firefox","2026-02-20","skipped","2026-02-20","ETL Module Tests","agent-studio\etl.spec.js","",""
"","1","@ui AGP-003 Verify Create Rule button is visible and enabled","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - AGP Module","agent-studio\agp.spec.ts","",""
"","1","@regression Verify Dashboard","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","0","Verify Deployed Flows count is visible","firefox","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","Verify user can open existing MAN","firefox","2026-04-15","skipped","2026-04-15","MAN - Open Existing","agent-studio\man\man.open.spec.ts","",""
"","0","Verify Closed Tickets count is visible","webkit","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","@sanity Create Source","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - ETL Module","agent-studio\etl.spec.ts","",""
"","0","Verify user can login using Email + Password","webkit","2026-04-15","skipped","2026-04-15","Authentication – Password Login","auth\login.password.spec.js","",""
"","0","@sanity Create Source","firefox","2026-02-20","skipped","2026-02-20","Agent Studio - ETL Module","agent-studio\etl.spec.js","",""
"","61077","@smoke @ui AGP-001 Verify user can open AGP module","webkit","2026-02-20","broken","2026-02-20","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","0","Global Login Setup","firefox","2026-04-15","skipped","2026-04-15","","setup\auth.setup.spec.ts","",""
"","61246","Verify Filters","chromium","2026-04-15","broken","2026-04-15","AI Marketplace Module","marketplace\marketplace.spec.ts","",""
"","0","Verify Ready to Deploy","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","0","@regression Create Template","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","0","Verify Deployed Flows count is visible","webkit","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","Verify Ready to Deploy","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","1","Verify MAN deployment status","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - MAN Deployment Module","agent-studio\man-deployment\manDeployment.spec.ts","",""
"","3","@smoke @ui Verify ETL loads","webkit","2026-02-24","skipped","2026-02-24","Agent Studio - ETL Module","agent-studio\etl.spec.js","",""
"","0","@sanity Create Provider","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","60522","Verify Marketplace UI Load","firefox","2026-04-15","broken","2026-04-15","AI Marketplace Module","marketplace\marketplace.spec.ts","",""
"","0","Verify Deployed Components count is visible","webkit","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","@sanity Create Provider","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","60582","@regression Test Provider Connection","firefox","2026-02-24","broken","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","0","@negative Create Provider without API key","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","0","get started link","chromium","2026-04-15","skipped","2026-04-15","","example.spec.ts","",""
"","62810","@smoke @ui AGP-001 Verify user can open AGP module","chromium","2026-02-24","broken","2026-02-24","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","0","Verify user can login using Email + OTP","chromium","2026-04-15","skipped","2026-04-15","Authentication – OTP Login","auth\login.otp.spec.js","",""
"","35254","@sanity Create Provider","webkit","2026-02-24","failed","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","0","Wrong OTP should not login","firefox","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","1","Verify Total Flows count is visible","firefox","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","User onboarding → Workspace creation → Chat input","firefox","2026-04-15","skipped","2026-04-15","SAI Onboarding Flow","sai.spec.ts","",""
"","0","Edit Project","webkit","2026-04-15","skipped","2026-04-15","Vanij Agent Studio - Projects Module","agent-studio\projects.spec.ts","",""
"","0","Verify Cloud Studio Deployment","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","0","Delete Component","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","0","View Project","webkit","2026-04-15","skipped","2026-04-15","Vanij Agent Studio - Projects Module","agent-studio\projects.spec.ts","",""
"","0","User onboarding → Workspace creation → Chat input","webkit","2026-04-15","skipped","2026-04-15","SAI Onboarding Flow","sai.spec.ts","",""
"","0","Verify user can open existing MAN","webkit","2026-04-15","skipped","2026-04-15","MAN - Open Existing","agent-studio\man\man.open.spec.ts","",""
"","0","@smoke @ui Verify ETL loads","firefox","2026-02-24","skipped","2026-02-24","Agent Studio - ETL Module","agent-studio\etl.spec.js","",""
"","0","Verify user can visit MAN page","chromium","2026-04-15","skipped","2026-04-15","MAN - Visit Page","agent-studio\man\man.visit.spec.ts","",""
"","0","Verify Deployed","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","2","@smoke Verify Total Projects count is visible","chromium","2026-02-24","skipped","2026-02-24","Agent Studio – Overview","agent-studio\overview\overview.spec.js","",""
"","0","Verify Component Deployment Observability","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","0","Deploy Component","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","0","Invalid email format should not login","chromium","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","60615","Verify Try Live Chat","firefox","2026-04-15","broken","2026-04-15","AI Marketplace Module","marketplace\marketplace.spec.ts","",""
"","0","Invalid email format should not login","auth-webkit","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","0","@sanity AGP-005 Verify file upload input exists","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - AGP Module","agent-studio\agp.spec.ts","",""
"","0","check login session","chromium","2026-04-15","skipped","2026-04-15","","debug.spec.ts","",""
"","60532","@ui AGP-003 Verify Create Rule button is visible and enabled","firefox","2026-02-20","broken","2026-02-20","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","45616","Verify user can open AGP module","chromium","2026-02-19","passed","2026-02-19","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","0","Verify Storage usage is visible","chromium","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","Verify Cloud Studio Deployment","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","65604","@regression Test Provider Connection","chromium","2026-02-24","broken","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","0","Wrong password should not login","webkit","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","0","Verify Total Flows count is visible","webkit","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","1","@regression Edit Provider","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","0","@smoke Verify Total Projects count is visible","firefox","2026-02-24","skipped","2026-02-24","Agent Studio – Overview","agent-studio\overview\overview.spec.js","",""
"","0","Verify Deployed Flows count is visible","chromium","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","62723","@negative Create Provider without API key","firefox","2026-02-24","broken","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","61223","Verify user can create new AGP rule","webkit","2026-02-19","broken","2026-02-19","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","0","Delete Component","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","0","Deploy Component","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","0","Invalid email format should not login","webkit","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","1","Verify Deployed","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","0","@negative @regression AGP-004 Verify rule creation fails without required fields","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - AGP Module","agent-studio\agp.spec.ts","",""
"","1","Verify Ready to Deploy","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","1","Verify MAN Deployment Observability","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","0","Verify Total Tickets count is visible","chromium","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","Verify user can open Flow Deployment page","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - Flow Deployment Module","agent-studio\flow-deployment\flowDeployment.spec.ts","",""
"","6064","@negative Create Provider without API key","webkit","2026-02-24","failed","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","0","Wrong password should not login","chromium","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","0","Verify Flow Deployment Observability","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","0","Verify MAN Deployment Observability","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","3","@regression Create Connection and Sync","chromium","2026-02-20","skipped","2026-02-20","ETL Module Tests","agent-studio\etl.spec.js","",""
"","0","@regression Edit Provider","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","0","Wrong OTP should not login","webkit","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","0","Verify user can switch environment","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Flow Deployment Module","agent-studio\flow-deployment\flowDeployment.spec.ts","",""
"","2","View Project","chromium","2026-04-15","skipped","2026-04-15","Vanij Agent Studio - Projects Module","agent-studio\projects.spec.ts","",""
"","0","Verify Deployed Components count is visible","firefox","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","62364","@regression Create Template","chromium","2026-02-24","broken","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","0","Wrong password should not login","auth-webkit","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","0","@smoke @ui Verify CPAAS loads","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","0","Verify user can clone MAN","chromium","2026-04-15","skipped","2026-04-15","MAN - Clone","agent-studio\man\man.clone.spec.ts","",""
"","62666","@sanity Create Provider","chromium","2026-02-24","broken","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","0","@negative Invalid Port Test","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - ETL Module","agent-studio\etl.spec.ts","",""
"","60980","@sanity AGP-005 Verify file upload input exists","webkit","2026-02-20","broken","2026-02-20","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","0","@regression Create Connection and Sync","webkit","2026-02-20","skipped","2026-02-20","ETL Module Tests","agent-studio\etl.spec.js","",""
"","0","Verify user can login using Email + Password","auth-firefox","2026-04-15","skipped","2026-04-15","Authentication – Password Login","auth\login.password.spec.js","",""
"","0","Verify user can edit a component","webkit","2026-04-15","skipped","2026-04-15","Agent Studio – Components","agent-studio\components\components.spec.ts","",""
"","0","Create Project","firefox","2026-04-15","skipped","2026-04-15","Vanij Agent Studio - Projects Module","agent-studio\projects.spec.ts","",""
"","61430","Verify Invalid Search","chromium","2026-04-15","broken","2026-04-15","AI Marketplace Module","marketplace\marketplace.spec.ts","",""
"","0","Verify Closed Tickets count is visible","firefox","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","@smoke @ui AGP-001 Verify user can open AGP module","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - AGP Module","agent-studio\agp.spec.ts","",""
"","0","@negative Create Provider without API key","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","60582","@smoke @ui AGP-001 Verify user can open AGP module","firefox","2026-02-20","broken","2026-02-20","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","0","Verify user can switch environment","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - Flow Deployment Module","agent-studio\flow-deployment\flowDeployment.spec.ts","",""
"","1","@regression Create Template","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","60961","@regression Edit Provider","chromium","2026-02-24","broken","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","0","Verify Resolved Tickets count is visible","chromium","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","@regression Create Destination","firefox","2026-02-24","skipped","2026-02-24","Agent Studio - ETL Module","agent-studio\etl.spec.js","",""
"","0","@negative Invalid Destination Port","chromium","2026-02-20","skipped","2026-02-20","ETL Module Tests","agent-studio\etl.spec.js","",""
"","64547","Verify Marketplace UI Load","webkit","2026-04-15","broken","2026-04-15","AI Marketplace Module","marketplace\marketplace.spec.ts","",""
"","1","@sanity Create Source","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - ETL Module","agent-studio\etl.spec.ts","",""
"","0","Verify Projects Observability","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","62018","Verify Try Live Chat","webkit","2026-04-15","broken","2026-04-15","AI Marketplace Module","marketplace\marketplace.spec.ts","",""
"","0","Verify MAN Observability","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","0","Global Login Setup","webkit","2026-04-15","skipped","2026-04-15","","setup\auth.setup.spec.ts","",""
"","0","Verify user can edit a component","firefox","2026-04-15","skipped","2026-04-15","Agent Studio – Components","agent-studio\components\components.spec.ts","",""
"","63929","@regression Verify Dashboard","chromium","2026-02-24","broken","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","0","@regression Create Destination","chromium","2026-02-20","skipped","2026-02-20","ETL Module Tests","agent-studio\etl.spec.js","",""
"","0","@smoke @ui AGP-001 Verify user can open AGP module","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - AGP Module","agent-studio\agp.spec.ts","",""
"","0","@regression Create Template","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","1","Wrong OTP should not login","chromium","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","0","View Project","firefox","2026-04-15","skipped","2026-04-15","Vanij Agent Studio - Projects Module","agent-studio\projects.spec.ts","",""
